ALIF
BAA
TA
THA
JEEM
HAA
KHAA
DELL
DHELL
RAA
ZAY
SEEN
SHEEN
SAD
DAD
TAA
DHAA
AYN
GHAYN
FAA
QAAF
KAAF
LAAM
MEEM
NOON
HA
WAW
YA
